Sigma,Tau,Fractions_n,Optimal_Margin_95_mm
1.0,2.0,2,5.8944
1.0,2.0,3,6.1078
1.0,2.0,5,6.2663
1.0,2.0,10,6.5399
1.0,2.0,15,6.5349
1.0,2.0,25,6.4004
1.0,2.0,30,6.3262
2.0,1.0,2,6.2205
2.0,1.0,3,6.3811
2.0,1.0,5,6.7872
2.0,1.0,10,7.0549
2.0,1.0,15,7.1513
2.0,1.0,25,6.3587
2.0,1.0,30,6.3345
1.0,4.0,2,10.6805
1.0,4.0,3,10.9587
1.0,4.0,5,11.0601
1.0,4.0,10,11.3174
1.0,4.0,15,11.2706
1.0,4.0,25,11.2781
1.0,4.0,30,11.3492
4.0,1.0,2,11.3881
4.0,1.0,3,11.8496
4.0,1.0,5,12.6904
4.0,1.0,10,13.473
4.0,1.0,15,13.8481
4.0,1.0,25,11.4623
4.0,1.0,30,11.6034
